2,A123123132,HAMBURGERS,2022-11-11,1445534,2022-11-11,ACCEPTED
3,A123123132,HAMBURGERS,2022-11-11,1445534,2022-11-11,ACCEPTED
4,A123123132,HAMBURGERS,2022-11-11,1445534,2022-11-11,ACCEPTED
5,A123123132,HAMBURGERS,2022-11-11,1445534,2022-11-11,ACCEPTED
6,A123123132,HAMBURGERS,2022-11-11,1445534,2022-11-11,ACCEPTED
7,A123123132,HAMBURGERS,2022-11-11,1445534,2022-11-11,ACCEPTED
1,ABC1235453,OA DELL LAPTOP RAM 32GB,2022-08-26,70496345,2022-09-26,ACCEPTED
8,A123123132,HAMBURGERS,2022-11-11,1445534,2022-11-11,ACCEPTED
34,Crab283918923018,Butter Salted Egg Yolk Crab,2022-11-15,NA,NA,STORAGE
36,C103293019302,Crepe Cake,2022-11-15,94944885,NA,PENDING
37,A9183298138,Adobo Chicken,2022-11-15,54367576,NA,PENDING
38,Angus9183298138,Angus Beef,2022-11-15,845389548,NA,PENDING
